Time,POE,Lane,Open,Stacked,Volume,Capacity,Unmet,Wait Time,NB POV Toll,NB Trk Toll,SB POV Toll,SB Trk Toll
17,"SY","POV_RE",8.000000,8.000000,1610.616147,696.000000,914.616147,39.423110,0.000000,0.000000,0.000000,0.000000
17,"SY","POV_SE",6.000000,0.000000,952.152199,696.000000,256.152199,11.041043,0.000000,0.000000,0.000000,0.000000
17,"SY","POV_SB",5.000000,0.000000,3010.403581,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,"OM","POV_GP",3.000000,0.000000,519.707450,180.000000,339.707450,56.617908,0.000000,0.000000,0.000000,0.000000
17,"OM","POV_RE",7.000000,0.000000,1160.959760,553.000000,607.959760,32.981542,0.000000,0.000000,0.000000,0.000000
17,"OM","POV_SE",2.000000,0.000000,304.051932,250.000000,54.051932,6.486232,0.000000,0.000000,0.000000,0.000000
17,"OM","POV_SB",2.000000,0.000000,4365.218485,1536.000000,2829.218485,55.258174,0.000000,0.000000,0.000000,0.000000
17,"OM","COM_GP",6.000000,0.000000,495.715856,138.000000,357.715856,77.764317,0.000000,0.000000,0.000000,0.000000
17,"OM","COM_SP",4.000000,0.000000,213.062178,92.000000,121.062178,39.476797,0.000000,0.000000,0.000000,0.000000
17,"OM","COM_SB",4.000000,0.000000,364.264014,356.000000,8.264014,0.696406,0.000000,0.000000,0.000000,0.000000
18,"SY","POV_GP",6.000000,6.000000,1502.553714,468.000000,1034.553714,66.317546,0.000000,0.000000,0.000000,0.000000
18,"SY","POV_RE",9.000000,9.000000,1641.563649,783.000000,858.563649,32.895159,0.000000,0.000000,0.000000,0.000000
18,"SY","POV_SE",6.000000,0.000000,966.251408,696.000000,270.251408,11.648768,0.000000,0.000000,0.000000,0.000000
18,"SY","POV_SB",5.000000,0.000000,2759.979766,3840.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,"OM","POV_GP",3.000000,0.000000,532.596777,180.000000,352.596777,58.766130,0.000000,0.000000,0.000000,0.000000
18,"OM","POV_RE",7.000000,0.000000,1052.929608,553.000000,499.929608,27.120955,0.000000,0.000000,0.000000,0.000000
18,"OM","POV_SE",2.000000,0.000000,321.869059,250.000000,71.869059,8.624287,0.000000,0.000000,0.000000,0.000000
18,"OM","POV_SB",2.000000,0.000000,5243.137737,1536.000000,3707.137737,72.405034,0.000000,0.000000,0.000000,0.000000
18,"OM","COM_GP",6.000000,0.000000,549.957675,138.000000,411.957675,89.556016,0.000000,0.000000,0.000000,0.000000
18,"OM","COM_SP",4.000000,0.000000,192.320152,92.000000,100.320152,32.713093,0.000000,0.000000,0.000000,0.000000
18,"OM","COM_SB",4.000000,0.000000,330.464706,356.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,"SY","POV_GP",6.000000,6.000000,1423.325375,468.000000,955.325375,61.238806,0.000000,0.000000,0.000000,0.000000
